elapsed time,species,compartment,concentration,
20.4085,V2R:G(ABG):GDP,Cytoplasm,0.0000E00
20.4085,V2R:G(ABG):GDP,Interstitium,0.0000E00
20.4085,V2R:G(A):GDP,Basolateral membrane,9.8557E-04
20.4085,V2R:G(A):GDP,Cytoplasm,0.0000E00
20.4085,V2R:G(A):GDP,Interstitium,0.0000E00
20.4085,V2R,Basolateral membrane,8.0425E02
20.4085,V2R,Cytoplasm,0.0000E00
20.4085,V2R,Interstitium,0.0000E00
20.4085,G(A):GDP,Basolateral membrane,0.0000E00
20.4085,G(A):GDP,Cytoplasm,1.2810E-02
20.4085,G(A):GDP,Interstitium,0.0000E00
20.4085,V2R:AVP:G(A):GTP,Basolateral membrane,9.6188E-08
20.4085,V2R:AVP:G(A):GTP,Cytoplasm,0.0000E00
20.4085,V2R:AVP:G(A):GTP,Interstitium,0.0000E00
20.4085,G(BG),Basolateral membrane,0.0000E00
20.4085,G(BG),Cytoplasm,2.0388E-02
20.4085,G(BG),Interstitium,0.0000E00
20.4085,AVP,Basolateral membrane,0.0000E00
20.4085,AVP,Cytoplasm,0.0000E00
20.4085,AVP,Interstitium,9.9693E00
20.4085,V2R:AVP:G(ABG):GDP,Basolateral membrane,1.3384E-03
20.4085,V2R:AVP:G(ABG):GDP,Cytoplasm,0.0000E00
20.4085,V2R:AVP:G(ABG):GDP,Interstitium,0.0000E00
20.4085,V2R:AVP,Basolateral membrane,2.9323E-02
20.4085,V2R:AVP,Cytoplasm,0.0000E00
20.4085,V2R:AVP,Interstitium,0.0000E00
30.6152,G(ABG):GDP,Basolateral membrane,0.0000E00
30.6152,G(ABG):GDP,Cytoplasm,4.6361E02
30.6152,G(ABG):GDP,Interstitium,0.0000E00
30.6152,V2R:G(A):GTP,Basolateral membrane,1.0386E-03
30.6152,V2R:G(A):GTP,Cytoplasm,0.0000E00
30.6152,V2R:G(A):GTP,Interstitium,0.0000E00
30.6152,G(A):GTP,Basolateral membrane,0.0000E00
30.6152,G(A):GTP,Cytoplasm,8.8308E-03
30.6152,G(A):GTP,Interstitium,0.0000E00
30.6152,V2R:AVP:G(A):GDP,Basolateral membrane,4.3152E-05
30.6152,V2R:AVP:G(A):GDP,Cytoplasm,0.0000E00
30.6152,V2R:AVP:G(A):GDP,Interstitium,0.0000E00
30.6152,V2R:G(ABG):GDP,Basolateral membrane,5.6353E01
30.6152,V2R:G(ABG):GDP,Cytoplasm,0.0000E00
30.6152,V2R:G(ABG):GDP,Interstitium,0.0000E00
30.6152,V2R:G(A):GDP,Basolateral membrane,2.1810E-03
30.6152,V2R:G(A):GDP,Cytoplasm,0.0000E00
30.6152,V2R:G(A):GDP,Interstitium,0.0000E00
30.6152,V2R,Basolateral membrane,7.8660E02
30.6152,V2R,Cytoplasm,0.0000E00
30.6152,V2R,Interstitium,0.0000E00
30.6152,G(A):GDP,Basolateral membrane,0.0000E00
30.6152,G(A):GDP,Cytoplasm,1.8513E-02
30.6152,G(A):GDP,Interstitium,0.0000E00
30.6152,V2R:AVP:G(A):GTP,Basolateral membrane,4.9465E-07
30.6152,V2R:AVP:G(A):GTP,Cytoplasm,0.0000E00
30.6152,V2R:AVP:G(A):GTP,Interstitium,0.0000E00
30.6152,G(BG),Basolateral membrane,0.0000E00
30.6152,G(BG),Cytoplasm,3.0608E-02
30.6152,G(BG),Interstitium,0.0000E00
30.6152,AVP,Basolateral membrane,0.0000E00
30.6152,AVP,Cytoplasm,0.0000E00
30.6152,AVP,Interstitium,9.9540E00
30.6152,V2R:AVP:G(ABG):GDP,Basolateral membrane,2.9436E-03
30.6152,V2R:AVP:G(ABG):GDP,Cytoplasm,0.0000E00
